agent_0,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10,agent_11,agent_12,agent_13,agent_14,agent_15,agent_16,agent_17,agent_18,agent_19,agent_20,agent_21,agent_22,agent_23,agent_24,agent_25,agent_26,agent_27,agent_28,agent_29
0,0,0,0,0,0,0,0,21,24,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,7
0,0,0,0,14,0,0,0,21,24,0,0,3,0,0,0,13,29,0,17,0,0,0,0,0,0,0,0,18,7
0,0,9,0,14,0,0,0,21,24,0,0,3,0,0,0,13,0,0,17,0,0,0,9,0,0,0,0,18,7
0,0,9,0,14,0,0,0,21,24,0,18,3,0,0,26,13,29,0,17,0,0,0,9,0,0,0,0,18,7
11,0,9,0,14,0,0,0,21,24,0,18,3,0,0,26,13,0,0,17,0,0,0,9,0,0,0,0,18,7
0,0,8,0,14,0,0,0,21,24,0,18,13,0,0,26,13,0,0,17,0,0,0,9,0,0,0,0,18,7
11,0,8,0,14,0,0,0,21,24,3,18,3,1,0,26,13,0,0,17,0,0,0,9,0,0,0,0,18,7
11,0,8,0,14,0,0,0,21,24,3,18,3,1,0,26,13,0,0,17,0,0,0,9,14,6,0,0,18,7
11,0,8,0,14,0,0,0,21,24,3,18,3,1,0,26,13,2,0,17,0,0,13,9,14,6,0,0,18,7
11,0,8,0,14,0,24,0,3,24,3,18,3,1,13,26,13,2,0,17,0,0,6,9,14,6,0,0,1,7
20,16,8,0,14,0,24,0,21,24,3,18,3,1,13,26,13,2,25,17,0,0,29,9,14,6,0,0,1,7
11,16,8,0,14,0,24,0,3,24,29,18,3,1,11,26,13,2,0,17,0,0,6,9,23,6,0,0,1,7
11,16,8,0,14,0,24,4,21,24,3,18,3,1,5,26,13,2,8,17,23,12,18,9,14,6,0,0,1,26
11,16,8,0,14,0,24,4,21,24,3,18,3,1,5,26,13,10,8,17,23,12,6,9,14,6,0,0,1,7
11,3,8,0,26,21,16,4,21,24,3,18,3,1,5,16,13,2,11,17,3,12,6,9,14,6,0,0,1,7
11,24,8,0,14,21,16,4,21,24,3,18,0,1,5,16,13,2,8,23,23,12,6,3,4,6,0,0,1,7
11,16,8,0,9,21,16,4,21,29,3,18,3,1,5,16,13,2,8,17,23,12,6,9,4,6,0,0,1,7
11,16,8,0,14,21,16,4,21,29,3,18,3,1,5,26,13,2,11,17,23,11,6,9,4,6,0,0,1,7
11,16,8,0,14,21,16,4,21,29,27,18,3,1,5,26,13,2,8,17,23,12,13,9,4,6,0,0,1,7
11,16,8,0,14,21,16,4,21,29,29,18,3,26,5,26,13,2,8,17,0,12,13,9,4,6,0,0,1,7
11,16,8,0,14,21,16,4,21,29,3,18,3,1,5,24,13,2,8,17,23,10,6,9,4,6,0,0,1,7
11,16,8,0,14,21,24,4,21,29,3,18,1,1,5,26,13,2,8,17,23,12,6,9,4,6,0,0,1,7
11,16,8,0,14,21,16,4,21,19,3,18,3,1,5,26,13,2,11,17,23,14,13,9,4,6,0,0,1,7
11,16,8,0,14,21,24,4,21,29,24,18,3,1,5,27,13,2,10,17,23,29,6,9,4,6,0,0,1,7
11,16,8,0,14,21,3,4,3,29,3,18,3,22,5,28,13,27,10,17,23,17,13,9,4,6,0,0,1,7
11,16,22,0,14,21,24,4,21,24,3,18,3,1,5,27,13,2,10,17,23,12,6,9,0,6,0,0,1,7
11,16,8,0,14,21,24,4,21,29,3,18,3,1,24,27,13,2,18,17,11,12,13,9,4,28,0,0,1,7
11,16,8,0,14,21,16,11,21,24,3,18,3,1,5,5,13,2,10,17,11,15,21,3,4,6,0,0,1,7
11,16,8,0,29,3,16,4,21,24,3,18,3,1,5,5,13,2,10,17,23,12,6,9,4,6,0,0,1,7
22,16,8,15,14,21,24,4,21,29,5,18,3,1,5,5,13,2,10,17,18,12,6,6,4,6,0,0,1,7
11,16,8,0,23,3,16,4,21,29,5,18,3,12,5,5,13,13,10,17,23,12,6,9,4,6,0,0,1,7
11,16,8,0,14,11,24,4,21,29,3,18,3,1,5,5,13,2,10,17,23,12,13,9,4,6,0,0,1,7
11,16,8,0,14,3,9,4,21,24,3,18,3,1,5,5,13,2,10,17,23,12,6,9,4,6,0,0,24,11
11,16,8,0,14,11,13,10,3,24,3,18,3,1,5,5,13,2,10,17,23,12,6,9,4,6,0,0,1,7
11,16,8,0,14,11,2,24,16,24,3,18,3,1,5,27,13,2,19,17,23,7,13,9,4,6,0,0,1,7
11,16,8,0,14,11,2,26,21,24,3,18,3,1,5,16,13,2,10,17,23,12,6,9,4,6,0,0,1,7
