agent_0,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10,agent_11,agent_12,agent_13,agent_14,agent_15,agent_16,agent_17,agent_18,agent_19,agent_20,agent_21,agent_22,agent_23,agent_24,agent_25,agent_26,agent_27,agent_28,agent_29
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,15,0
0,13,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,15,0,0,0,22,25
0,13,0,0,0,0,0,14,0,0,0,23,0,15,0,0,0,0,0,25,0,0,0,0,15,0,0,0,15,25
19,13,18,0,19,0,0,14,8,8,0,4,0,15,0,0,0,0,0,21,0,3,0,0,15,0,0,0,15,23
0,13,18,0,0,15,0,14,8,8,0,4,0,15,0,0,0,0,0,18,0,3,0,0,7,0,0,0,15,23
0,13,17,0,0,15,17,14,8,8,0,4,0,15,0,0,0,0,0,18,19,3,0,2,7,0,0,0,15,21
0,13,17,0,0,15,17,14,8,25,0,4,0,15,0,15,0,0,0,18,19,0,5,2,7,0,4,0,16,25
8,13,18,0,0,15,17,14,8,8,0,4,0,15,0,15,0,0,0,25,19,3,5,29,7,14,17,0,16,25
5,13,26,0,0,0,25,14,8,8,0,9,0,15,0,26,6,0,0,18,19,3,5,2,7,14,4,18,16,25
5,13,18,0,0,15,17,14,8,8,0,4,0,15,0,26,6,0,0,18,19,3,5,2,4,14,4,18,16,23
5,13,15,0,0,15,29,14,8,8,0,4,0,15,0,26,6,0,0,18,19,3,5,2,7,14,4,18,16,28
5,13,17,0,0,0,17,28,8,8,0,4,0,15,0,6,6,0,7,18,19,3,5,2,7,14,9,18,16,23
5,13,0,0,24,0,17,14,8,25,12,5,0,15,0,6,6,0,7,18,19,3,5,2,7,14,9,18,16,28
5,13,18,0,28,15,17,14,18,25,12,4,27,0,0,6,27,0,7,18,19,3,5,2,7,14,9,18,16,28
