agent_0,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10,agent_11,agent_12,agent_13,agent_14,agent_15,agent_16,agent_17,agent_18,agent_19,agent_20,agent_21,agent_22,agent_23,agent_24,agent_25,agent_26,agent_27,agent_28,agent_29
0,0,0,0,0,0,25,0,0,0,0,0,0,0,12,0,3,21,0,10,0,0,0,0,0,0,0,0,0,0
0,0,24,0,17,0,25,0,0,8,0,0,0,0,12,0,3,21,0,10,0,0,0,0,0,0,0,0,13,0
0,0,24,0,17,0,25,0,0,8,0,0,0,0,12,0,3,21,7,10,0,0,0,0,0,0,0,0,13,0
0,0,11,0,17,0,6,0,0,8,24,0,0,0,12,0,3,21,7,10,0,0,0,0,0,0,24,0,13,25
0,25,11,0,17,0,12,0,0,8,24,0,0,0,12,0,3,21,7,10,0,0,0,0,0,10,24,0,13,25
0,25,11,0,17,0,6,0,15,27,24,0,0,0,12,0,3,21,7,10,0,0,0,9,0,10,24,0,13,25
0,25,11,0,17,0,6,0,15,27,24,0,0,0,12,0,23,21,7,12,0,0,0,9,0,10,24,0,13,25
0,25,11,0,17,0,6,0,15,27,24,0,0,0,12,0,3,21,7,10,0,8,0,21,0,10,25,0,13,25
0,25,11,0,17,0,6,29,15,27,24,0,0,0,12,0,3,21,6,10,0,8,8,23,0,10,25,0,13,25
0,25,11,25,17,0,12,0,15,27,24,0,0,0,12,0,3,21,7,10,0,8,0,21,0,10,24,0,13,25
0,25,11,25,17,0,12,0,15,27,24,0,0,0,12,0,3,21,3,10,0,8,0,7,0,10,24,0,13,25
0,25,4,0,17,0,6,0,15,27,24,0,27,0,12,0,3,21,7,10,0,16,0,21,0,10,24,0,13,25
0,25,22,25,17,0,6,0,15,27,24,0,0,2,12,4,3,21,7,10,0,8,0,9,0,10,25,0,13,25
0,25,22,25,10,0,6,0,15,27,24,0,0,2,12,4,3,21,7,10,0,8,0,9,29,10,25,0,13,25
22,25,22,11,10,0,6,0,15,27,24,0,14,2,12,4,3,21,7,10,0,8,0,22,29,10,25,0,13,25
22,25,22,11,10,0,6,0,15,27,24,0,14,2,10,4,3,27,7,10,0,8,0,22,29,10,25,0,13,25
22,25,22,11,10,0,6,17,15,19,24,29,14,2,10,4,3,27,7,10,0,8,0,22,24,10,25,0,13,25
