key,value
timesteps,1000
n_arms,30
arm_0_mean,10.0
arm_0_sd,1.0
arm_1_mean,9.0
arm_1_sd,1.0
arm_2_mean,8.2
arm_2_sd,1.0
arm_3_mean,7.5
arm_3_sd,1.0
arm_4_mean,6.8
arm_4_sd,1.0
arm_5_mean,5.5
arm_5_sd,1.0
arm_6_mean,5.0
arm_6_sd,1.0
arm_7_mean,4.6
arm_7_sd,1.0
arm_8_mean,4.2
arm_8_sd,1.0
arm_9_mean,3.9
arm_9_sd,1.0
arm_10_mean,3.6
arm_10_sd,1.0
arm_11_mean,3.3
arm_11_sd,1.0
arm_12_mean,3.0
arm_12_sd,1.0
arm_13_mean,2.8
arm_13_sd,1.0
arm_14_mean,2.6
arm_14_sd,1.0
arm_15_mean,2.0
arm_15_sd,1.0
arm_16_mean,1.9
arm_16_sd,1.0
arm_17_mean,1.8
arm_17_sd,1.0
arm_18_mean,1.7
arm_18_sd,1.0
arm_19_mean,1.6
arm_19_sd,1.0
arm_20_mean,1.5
arm_20_sd,1.0
arm_21_mean,1.4
arm_21_sd,1.0
arm_22_mean,1.3
arm_22_sd,1.0
arm_23_mean,1.2
arm_23_sd,1.0
arm_24_mean,1.1
arm_24_sd,1.0
arm_25_mean,1.0
arm_25_sd,1.0
arm_26_mean,0.9
arm_26_sd,1.0
arm_27_mean,0.8
arm_27_sd,1.0
arm_28_mean,0.7
arm_28_sd,1.0
arm_29_mean,0.5
arm_29_sd,1.0
collision_policy,linear_share
governor,CommunistGovernor
death_threshold,0.0
initial_wealth,200.0
step_cost,2.5
n_agents,30
agent_0_name,EpsilonGreedyAgent
agent_1_name,EpsilonGreedyAgent
agent_2_name,EpsilonGreedyAgent
agent_3_name,EpsilonGreedyAgent
agent_4_name,EpsilonGreedyAgent
agent_5_name,EpsilonGreedyAgent
agent_6_name,EpsilonGreedyAgent
agent_7_name,EpsilonGreedyAgent
agent_8_name,EpsilonGreedyAgent
agent_9_name,EpsilonGreedyAgent
agent_10_name,EpsilonGreedyAgent
agent_11_name,EpsilonGreedyAgent
agent_12_name,EpsilonGreedyAgent
agent_13_name,EpsilonGreedyAgent
agent_14_name,EpsilonGreedyAgent
agent_15_name,EpsilonGreedyAgent
agent_16_name,EpsilonGreedyAgent
agent_17_name,EpsilonGreedyAgent
agent_18_name,EpsilonGreedyAgent
agent_19_name,EpsilonGreedyAgent
agent_20_name,EpsilonGreedyAgent
agent_21_name,EpsilonGreedyAgent
agent_22_name,EpsilonGreedyAgent
agent_23_name,EpsilonGreedyAgent
agent_24_name,EpsilonGreedyAgent
agent_25_name,EpsilonGreedyAgent
agent_26_name,EpsilonGreedyAgent
agent_27_name,EpsilonGreedyAgent
agent_28_name,EpsilonGreedyAgent
agent_29_name,EpsilonGreedyAgent
