agent_0,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10,agent_11,agent_12,agent_13,agent_14,agent_15,agent_16,agent_17,agent_18,agent_19,agent_20,agent_21,agent_22,agent_23,agent_24,agent_25,agent_26,agent_27,agent_28,agent_29
0,13,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,13,1,1,2,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,29,1,8,1,1,1,1,1
2,13,2,2,2,8,2,2,2,2,6,27,2,2,10,2,2,2,2,2,2,2,29,2,8,2,2,2,2,2
3,13,3,3,2,8,3,3,3,3,6,27,3,16,10,3,3,3,3,3,3,3,29,3,8,3,3,3,3,3
4,13,4,4,2,8,4,4,4,4,6,27,4,16,10,4,4,4,4,4,4,4,11,4,8,4,4,4,4,2
5,13,5,5,2,8,5,17,5,5,6,27,5,16,10,5,5,5,5,5,10,5,29,5,8,14,5,25,5,4
6,13,6,6,3,8,6,24,6,6,6,27,6,16,10,6,6,6,6,6,10,6,11,7,8,24,6,25,24,4
3,13,7,7,2,8,7,17,7,7,6,27,7,16,10,7,7,25,7,7,10,7,29,7,8,7,7,25,24,4
3,13,13,18,2,8,29,17,8,8,6,23,8,16,10,8,8,25,8,8,10,8,29,7,8,14,8,25,24,4
3,13,13,18,0,8,8,17,9,9,6,27,9,16,10,9,9,25,9,9,10,9,11,7,8,14,9,25,24,4
3,13,13,6,2,8,9,17,10,10,6,27,10,16,10,10,13,25,10,10,10,10,29,7,8,14,22,25,24,4
3,13,13,18,0,8,9,4,11,11,6,27,11,16,10,11,13,25,11,11,10,11,11,7,8,14,22,25,24,26
3,13,13,18,2,29,9,17,12,12,6,27,12,16,10,12,13,1,12,12,10,12,29,7,8,14,22,25,24,4
3,13,13,18,2,8,9,17,13,13,6,27,13,16,10,13,13,0,13,13,8,13,29,7,8,14,17,25,24,4
3,14,13,18,21,8,9,17,14,14,6,27,14,16,18,14,5,28,14,14,10,14,11,7,18,14,22,25,24,4
3,13,13,18,3,8,9,17,9,15,6,27,15,16,10,15,22,28,15,15,10,15,10,7,8,14,22,4,24,8
3,13,12,18,2,12,9,17,15,16,6,23,16,23,10,16,5,0,16,16,10,16,29,7,8,14,22,25,24,4
3,13,13,18,4,8,29,17,15,17,6,27,17,16,27,17,22,0,17,17,16,0,29,7,8,14,22,25,24,4
3,13,13,18,2,28,9,16,15,18,6,27,18,16,10,18,5,0,18,18,10,0,11,7,8,14,22,25,24,4
3,13,13,18,27,28,9,17,15,19,6,27,19,16,17,19,5,0,19,19,10,0,29,7,8,14,22,25,24,4
3,13,13,20,2,28,9,17,27,20,6,27,20,16,10,20,5,6,20,20,10,23,11,7,8,14,22,25,24,4
3,13,13,18,28,28,9,17,15,21,6,27,21,16,10,21,5,0,21,21,10,23,29,7,8,14,22,25,24,4
3,13,13,18,2,28,9,17,15,22,6,27,22,16,10,22,5,0,22,22,22,23,11,7,8,14,22,25,24,4
3,13,13,18,2,28,9,17,15,23,6,13,23,16,10,23,4,0,23,23,10,23,29,7,8,14,28,25,24,4
