step,observation,raw_adjustments,adjusted,reward,death_count
1,"[0, 0, 0, 200.0, 200.0, 200.0]","[-1.678197136296406, 1.3944827659502241, 0.28371437034618174]","[-1.678197136296406, 1.3944827659502241, 0.28371437034618174]",3.340456,0
2,"[0, 0, 0, 196.9352882000356, 200.0079681022822, 198.89719970667815]","[3.7489516052519116, -6.821134618488163, 3.0721830132362515]","[3.7489516052519116, -6.821134618488163, 3.0721830132362515]",3.407930,0
3,"[0, 0, 0, 199.32021634786898, 191.82281002637552, 200.60535926249588]","[-0.1419704337399067, 2.8965767131455538, -2.754606279405647]","[-0.1419704337399067, 2.8965767131455538, -2.754606279405647]",2.575745,0
4,"[0, 0, 0, 197.5368276444519, 193.0779684698439, 196.20933471341306]","[-0.9731129296328853, 2.117094736630818, -1.1439818069979317]","[-0.9731129296328853, 2.117094736630818, -1.1439818069979317]",3.124979,0
5,"[0, 0, 0, 195.10537431079686, 193.73672280245256, 193.60701250239296]","[0.28835461290011466, 0.5740548912493264, -0.8624095041494404]","[0.28835461290011466, 0.5740548912493264, -0.8624095041494404]",3.216402,0
6,"[0, 0, 0, 193.96586298456089, 192.8829117545658, 191.31673705910742]","[1.3358641533224156, -3.098732104315456, 1.76286795099304]","[1.3358641533224156, -3.098732104315456, 1.76286795099304]",2.633053,0
7,"[0, 0, 2, 193.67941147199312, 188.1618639843602, 191.4572893442103]","[-0.6761508114467993, 1.3918870521994802, -0.7157362407526815]","[-0.6761508114467993, 1.3918870521994802, -0.7157362407526815]",4.520455,0
8,"[0, 0, 0, 192.32879661234136, 188.8792869883547, 189.11093588599584]","[-1.8948476340208495, -1.6395158123516183, 3.534363446372468]","[-1.8948476340208495, -1.6395158123516183, 3.534363446372468]",2.743185,0
9,"[0, 0, 0, 188.84834382201768, 185.65416601970026, 191.05969417606548]","[5.47843119876101, -5.356737066839315, -0.12169413192169493]","[5.47843119876101, -5.356737066839315, -0.12169413192169493]",2.777437,0
10,"[0, 0, 0, 192.75258741575732, 178.72324134783958, 189.36381243912243]","[1.6997940912849019, 0.9342558783513772, -2.6340499696362794]","[1.6997940912849019, 0.9342558783513772, -2.6340499696362794]",3.277687,0
11,"[0, 0, 0, 193.04494382043345, 178.25005953958217, 185.3223247828774]","[2.0456056142914663, -0.6883611354007986, -1.3572444788906672]","[2.0456056142914663, -0.6883611354007986, -1.3572444788906672]",2.951297,0
